kulturcode,kulturart 2012,kulturart 2013,kulturart 2014,kulturart 2015,kulturart 2016,kulturart 2017,kulturart 2018,kulturart 2019,kulturart 2020,kulturart 2021,kulturart 2022,kulturart 2023,kulturart 2024,latest_kulturart,all_kulturart,take_latest,take_Gruppe,new_kulturart,new_kulturcode
649,,,,,"Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe,","Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe,",,"Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe,
Mairübe, Chinakohl, Pak-Choi, Teltower Rübchen, Stielmus,
Herbstrübe)","Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe, Mairübe,
Chinakohl, Pak-Choi, Teltower Rübchen, Stielmus, Herbstrübe)",,,"Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe,","Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe, Mairübe, Chinakohl,","Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe, Mairübe, Chinakohl,","Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe,, Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe,
Mairübe, Chinakohl, Pak-Choi, Teltower Rübchen, Stielmus,
Herbstrübe), Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe, Mairübe,
Chinakohl, Pak-Choi, Teltower Rübchen, Stielmus, Herbstrübe), Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe, Mairübe, Chinakohl,",1,,,
650,,,,Küchenkräuter/Heil-und Gewürzpflanzen,Küchenkräuter/Heil-und Gewürzpflanzen,Küchenkräuter/Heil-und Gewürzpflanzen,Küchenkräuter/Heil-und Gewürzpflanzen,Küchenkräuter/Heil-und Gewürzpflanzen,Küchenkräuter/Heil-und Gewürzpflanzen,Küchenkräuter/Heil-und Gewürzpflanzen,Küchenkräuter/Heil-und Gewürzpflanzen,beetweiser Anbau von Küchenkräuter/Heil-und Gewürzpflanzen,beetweiser Anbau von Küchenkräuter/Heil-und Gewürzpflanzen,beetweiser Anbau von Küchenkräuter/Heil-und Gewürzpflanzen,"Küchenkräuter/Heil-und Gewürzpflanzen, beetweiser Anbau von Küchenkräuter/Heil-und Gewürzpflanzen",,1,,
651,,,,"Anethum (Dill, Gurkenkraut)","Dill, Gurkenkraut","Dill, Gurkenkraut","Dill, Gurkenkraut","Dill, Gurkenkraut","Dill, Gurkenkraut","Dill, Gurkenkraut","Dill, Gurkenkraut","Dill, Gurkenkraut","Dill, Gurkenkraut","Dill, Gurkenkraut","Anethum (Dill, Gurkenkraut), Dill, Gurkenkraut",,1,,
652,,,,Kerbel (echter Kerbel),Kerbel ( echter Kerbel),"Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)","Kerbel (echter Kerbel), Kerbel ( echter Kerbel), Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)",,1,,
653,,,,Bibernellen (Anis),Anis,Anis,Anis,Anis,Anis,Anis,Anis,Anis,Anis,Anis,"Bibernellen (Anis), Anis",,1,,
654,,,,Kümmel (Echter Kümmel),Kümmel (Echter Kümmel),Kümmel,Kümmel,Kümmel,Kümmel,Kümmel,Kümmel,Kümmel,Kümmel,Kümmel,"Kümmel (Echter Kümmel), Kümmel",,1,,
655,,,,Kreuzkümmel (Echter Kreuzkümmel),Kreuzkümmel (Echter Kreuzkümmel),Kreuzkümmel,Kreuzkümmel,Kreuzkümmel,Kreuzkümmel,Kreuzkümmel,Kreuzkümmel,Kreuzkümmel,Kreuzkümmel,Kreuzkümmel,"Kreuzkümmel (Echter Kreuzkümmel), Kreuzkümmel",,1,,
656,,,,Schwarzkümmel (Echter Schwarzkümmel),Schwarzkümmel (Echter Schwarzkümmel),"Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)","Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)","Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)","Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)",,"Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)","Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)","Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)","Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)","Schwarzkümmel (Echter Schwarzkümmel), Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)",,1,,
659,,,,Petroselinum (Petersilie),Petersilie,Petersilie,Petersilie,Petersilie,Petersilie,Petersilie,Petersilie,Petersilie,Petersilie,Petersilie,"Petroselinum (Petersilie), Petersilie",,1,,
662,,,,Salbei (Küchen-/Heilsalbei),Salbei (Küchen-/Heilsalbei),"Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)","Salbei (Küchen-/Heilsalbei), Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)",,1,,
664,,,,"Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)","Oregano, Echter Majoran, Dost, Wilder Majoran","Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)","Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)","Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)",,"Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)","Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)","Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)","Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)","Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)","Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran), Oregano, Echter Majoran, Dost, Wilder Majoran",,1,,
665,,,,Bohnenkräuter,Bohnenkraut,Bohnenkraut,Bohnenkraut,Bohnenkraut,Bohnenkraut,Bohnenkraut,Bohnenkraut,Bohnenkraut,Bohnenkraut,Bohnenkraut,"Bohnenkräuter, Bohnenkraut",,1,,
666,,,,Hyssopus (Ysop/Eisenkraut),Ysop/Eisenkraut,Ysop/Eisenkraut,Ysop/Eisenkraut,Ysop/Eisenkraut,Ysop/Eisenkraut,Ysop/Eisenkraut,Ysop/Eisenkraut,Ysop/Eisenkraut,Ysop/Eisenkraut,Ysop/Eisenkraut,"Hyssopus (Ysop/Eisenkraut), Ysop/Eisenkraut",,1,,
669,,,,"Thymiane (Thymian, Gartenthymian, Echter Thymian)",Thymian,Thymian,Thymian,Thymian,Thymian,Thymian,Thymian,Thymian,Thymian,Thymian,"Thymiane (Thymian, Gartenthymian, Echter Thymian), Thymian",,1,,
670,,,,Melissen (Zitronenmelisse),Melissen (Zitronenmelisse),Melissen (Zitronenmelisse),Melissen (Zitronenmelisse),Melissen (Zitronenmelisse),Melisse (Zitronenmelisse),Melisse (Zitronenmelisse),Melisse (Zitronenmelisse),Melisse (Zitronenmelisse),Melisse (Zitronenmelisse),Melisse (Zitronenmelisse),"Melissen (Zitronenmelisse), Melisse (Zitronenmelisse)",,1,,
671,,,,Enziane,Enzian,Enzian,Enzian,Enzian,Enzian,Enzian,Enzian,Enzian,Enzian,Enzian,"Enziane, Enzian",,1,,
673,,,,"Artemisia (Wermut, Estragon, Beifuß)","Artemisia (Wermut, Estragon, Beifuß)","Wermut, Estragon, Beifuß","Wermut, Estragon, Beifuß","Wermut, Estragon, Beifuß","Wermut, Estragon, Beifuß","Wermut, Estragon, Beifuß","Wermut, Estragon, Beifuß","Wermut, Estragon, Beifuß","Wermut, Estragon, Beifuß","Wermut, Estragon, Beifuß","Artemisia (Wermut, Estragon, Beifuß), Wermut, Estragon, Beifuß",,1,,
674,,,,Ringelblumen (Garten-Ringelblume),Ringelblumen,Ringelblumen (Garten-Ringelblume),Ringelblumen (Garten-Ringelblume),Ringelblumen (Garten-Ringelblume),Ringelblumen (Garten-Ringelblume),Ringelblumen (Garten-Ringelblume),Ringelblumen (Garten-Ringelblume),Ringelblumen (Garten-Ringelblume),Ringelblumen (Garten-Ringelblume),Ringelblumen (Garten-Ringelblume),"Ringelblumen (Garten-Ringelblume), Ringelblumen",,1,,
676,,,,Wegeriche (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),Wegerich (Spitzwegerich),"Wegeriche (Spitzwegerich), Wegerich (Spitzwegerich)",,1,,
679,,,,Baldriane (Echter Baldrian),Baldriane (Echter Baldrian),Baldriane (Echter Baldrian),Baldriane (Echter Baldrian),Baldriane (Echter Baldrian),Baldrian (Echter Baldrian),Baldrian (Echter Baldrian),Baldrian (Echter Baldrian),Baldrian (Echter Baldrian),Baldrian (Echter Baldrian),Baldrian (Echter Baldrian),"Baldriane (Echter Baldrian), Baldrian (Echter Baldrian)",,1,,
680,,,,Johanniskräuter (Echtes Johanniskraut),Echtes Johanniskraut,Echtes Johanniskraut/Hyperikum,,Echtes Johanniskraut/Hyperikum,Echtes Johanniskraut/Hyperikum,Echtes Johanniskraut/Hyperikum,Echtes Johanniskraut/Hyperikum,Echtes Johanniskraut/Hyperikum,Echtes Johanniskraut/Hyperikum,Echtes Johanniskraut/Hyperikum,"Johanniskräuter (Echtes Johanniskraut), Echtes Johanniskraut, Echtes Johanniskraut/Hyperikum",,1,,
683,,,,Galega (Geißraute),Geißraute,Geißraute,Geißraute,Geißraute,Geißraute,Geißraute,Geißraute,Geißraute,Geißraute,Geißraute,"Galega (Geißraute), Geißraute",,1,,
687,,,,,,,,,,Echte Arnika (Arnica montana),Echte Arnika (Arnica montana),echte Arnika (Arnica montana),echte Arnika (Arnica montana),echte Arnika (Arnica montana),"Echte Arnika (Arnica montana), echte Arnika (Arnica montana)",,1,,
701,,,,Nutzhanf,Nutzhanf,Hanf,Hanf,Hanf,Hanf,Hanf,Hanf,Hanf,,Hanf,"Nutzhanf, Hanf",,,,
702,,,,Rollrasen,Rollrasen; Vegetationsmatten für Dachbegrünung,Rollrasen; Vegetationsmatten für Dachbegrünung,Rollrasen; Vegetationsmatten für Dachbegrünung,Rollrasen; Vegetationsmatten für Dachbegrünung,"Rollrasen, Vegetationsmatten für Dachbegrünung","Rollrasen, Vegetationsmatten für Dachbegrünung","Rollrasen, Vegetationsmatten für Dachbegrünung","Rollrasen, Vegetationsmappen für Dachbegrünung","Rollrasen, Vegetationsmappen für Dachbegrünung","Rollrasen, Vegetationsmappen für Dachbegrünung","Rollrasen, Rollrasen; Vegetationsmatten für Dachbegrünung, Rollrasen, Vegetationsmatten für Dachbegrünung, Rollrasen, Vegetationsmappen für Dachbegrünung",,,,
703,,,,Färberwaid,Färberwaid,Färberwaid,Färberwaid,Färberwaid,Färberwaid,Färberwaid,Färber-Waid,Färber-Waid,Färber-Waid,Färber-Waid,"Färberwaid, Färber-Waid",,,,
